,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
233,21/09/2022 20:30:44841000,,401.624,365.024,394.304,208.132,233.861.875,110,65535,65535
234,21/09/2022 20:30:45839400,,401.868,363.804,394.304,208.376,236.639.035,111,65535,65535
235,21/09/2022 20:30:46853400,,401.868,366.488,394.792,208.376,232.936.155,110,65535,65535
236,21/09/2022 20:30:47836200,,401.624,366.732,394.304,20.862,235.713.315,110,65535,65535
237,21/09/2022 20:30:48834600,,401.868,366.488,394.548,20.862,233.861.875,110,65535,65535
238,21/09/2022 20:30:49848600,,402.112,366.732,394.548,207.888,235.713.315,112,65535,65535
239,21/09/2022 20:30:50847000,,401.868,36.722,393.084,208.376,235.713.315,108,65535,65535
240,21/09/2022 20:30:51845400,,402.112,36.356,392.596,208.132,236.639.035,110,65535,65535
241,21/09/2022 20:30:52843800,,401.624,366.488,394.548,207.888,235.713.315,112,65535,65535
242,21/09/2022 20:30:53842200,,402.112,36.722,393.328,208.132,236.639.035,108,65535,65535
243,21/09/2022 20:30:54840600,,402.112,36.722,393.084,20.862,236.639.035,111,65535,65535
244,21/09/2022 20:30:55839000,,40.26,36.722,393.328,209.108,236.639.035,108,65535,65535
245,21/09/2022 20:31:02968200,,400.648,364.536,394.304,209.352,219.050.355,108,65535,65535
246,21/09/2022 20:31:03966600,,401.624,364.292,394.548,20.862,218.124.635,110,65535,65535
247,21/09/2022 20:31:04996200,,401.868,363.316,394.304,20.862,219.050.355,110,65535,65535
248,21/09/2022 20:31:05994600,,400.892,363.804,394.548,208.376,219.976.075,110,65535,65535
249,21/09/2022 20:31:07008600,,401.624,363.072,394.304,208.376,218.124.635,111,65535,65535
250,21/09/2022 20:31:08007000,,400.404,365.024,393.572,20.862,219.976.075,110,65535,65535
251,21/09/2022 20:31:09005400,,401.624,36.478,394.304,20.862,222.753.235,110,65535,65535
252,21/09/2022 20:31:10003800,,401.868,364.292,394.548,208.376,222.753.235,111,65535,65535
253,21/09/2022 20:31:11002200,,401.868,363.316,394.548,209.108,221.827.515,112,65535,65535
254,21/09/2022 20:31:12016200,,400.892,362.096,394.548,209.108,221.827.515,112,65535,65535
255,21/09/2022 20:31:12983400,,400.404,362.096,394.304,208.376,219.976.075,113,65535,65535
